Customer ID,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12,Month_13
Customer 29,32.85,24.74,20.62,14.54,19.18,23.56,21.75,25.91,27.87,12.58,32.59,22.48,0
Customer 30,15.08,20.54,26.42,24.55,20.48,31.69,41.59,21.72,23.86,16.28,17.32,15.49,0
Customer 31,16.58,20.95,23.93,19.75,25.59,13.84,20.08,14.14,24.16,27.27,31.38,25.48,2.46
Customer 32,22.59,41.2,33.13,31.11,21.72,15.07,16.65,24.94,23.96,32.53,37.92,38.6,0.95
Customer 33,42.92,16.02,22.9,19.44,9.67,15.73,16.89,29.14,29.43,19.78,13.41,15.55,0
Customer 34,21.05,14.96,32.22,27.31,24.04,35.23,14.58,24.79,14.4,40.82,23.51,30.47,0
Customer 35,13.82,15.68,22.98,27.98,28.79,37.6,49.62,34.03,17.16,34.64,26.1,5.6,0.41
Customer 36,24.58,19.21,14.89,32.54,9.87,30.59,19.81,25.71,14.94,24.23,21,31.72,0
Customer 37,16.21,22.78,15.75,33.46,27.73,34.95,16.27,22.42,27.3,27.08,25.1,26.4,0
Customer 38,19.4,2.62,13.44,22.51,15.69,28.07,28.06,42.45,21.81,26.27,16.05,33.74,0.75
Customer 39,21.25,10.8,13.09,34.16,42.61,16.11,19.8,26.69,28.02,10.23,37.69,23.87,0.31
Customer 40,21.19,33.74,30.7,29.57,11.15,34.8,21.97,31.5,28.57,18.38,34.35,20.11,1.23
Customer 41,21.15,31.34,34.31,17.09,25.99,14.41,29.03,26.88,26.21,28.9,22.4,29.76,0
Customer 42,21.39,24.75,18.46,39.79,36.16,24.18,13.87,17.57,23.04,19.88,29.61,11.93,2.69
Customer 43,19.69,38.87,28.23,17.14,16.53,19.26,8.79,28.06,26.78,33.74,24.33,23.11,0
Customer 44,25.32,13.88,15.37,19.01,27.67,23.59,23.8,21.98,21.23,26.88,21.63,31.85,0
Customer 45,34.61,21.56,29.24,51.09,31.22,24.52,28.96,27.56,17.11,32.62,33.65,21.44,0
Customer 46,21.62,26.27,26.92,18.57,9.55,23.14,21.45,33.05,16.51,33.59,39.18,25.09,1.97
Customer 47,45.53,25.91,33.5,22.78,22.53,6.98,7.74,17.5,15.82,46.16,20.65,29.6,6.52
Customer 48,37.7,26.72,14.46,34.62,26.23,32.03,24.06,16,30.64,38.5,17.17,29.16,0
Customer 49,13.79,21.6,30.27,30.68,17.07,21.52,36.32,21.44,17.84,38.77,23.66,23.27,1.63
Customer 50,19.95,21.71,34.21,35.69,34.08,12.91,11.6,35.91,21.88,35.3,22.85,34.73,0
Customer 51,9.78,25.65,26.9,39.41,29.41,30.3,30,26.32,21.22,20.46,18.52,25.52,4.25
Customer 52,17.17,35.11,22.38,16.86,18.43,32.71,9.16,38.83,19.02,30.97,45.74,15.35,0.17
Customer 53,18.12,25.89,36.52,17.96,13.79,23.66,14.19,14.3,28.22,20.47,21.61,23.1,0
Customer 54,21.71,11.52,20.79,13.58,14.39,33.52,34,29.62,23.7,32.75,27.25,27.45,0.32
Customer 55,28.61,25.91,16.62,40.64,33.27,24.94,13.01,28.63,11.83,29.49,17.9,25.35,0.35
Customer 56,27.91,23.98,33.22,9.01,32.59,25.76,27.77,19.16,24.54,12.8,26.18,17.33,3.2
Customer 57,26.9,43.34,17.34,34.97,15.37,13.5,36.15,29.89,22.32,28.17,24.33,27.97,0
Customer 58,28.14,22.83,25.67,35.39,11.52,21.74,21.8,22.08,19.47,31.87,22.24,24.22,0
Customer 59,13.87,17.35,31.73,27.21,20.37,31.93,30.34,25.2,25.4,25.84,25.06,22.95,0
Customer 60,30.07,23.86,31.77,21.39,26.38,31.74,29,29.96,17.76,25.72,15.39,18.1,0
Customer 61,37.77,33.79,35.55,46.27,35.4,28.28,25.75,22.87,35.46,30.72,13.06,21.56,1.38
Customer 62,11.99,29.21,19.91,29.53,21.31,17.81,27.13,31.96,29.39,22.88,20.83,28.83,3.6
Customer 63,29.17,24.52,21.69,18.87,4.24,24.57,27.8,21.29,20.46,31.13,19.95,27.84,1.1
Customer 64,27.16,30.43,18.33,19.31,21.29,22.53,36.09,46.79,30.63,18.23,17.49,21,0
Customer 65,28.78,16.77,25.93,26.98,22.86,33.17,20.33,31.29,30.62,23.01,12.47,45.14,0
Customer 66,32.06,26.96,29.78,33.13,23.96,22.69,11.45,30.77,31.83,13.61,18.61,21.78,0
Customer 67,29.71,22.11,30.84,13.91,31.91,17.13,17.5,22.99,28.48,12.38,29.83,25.98,0
Customer 68,27.52,21.96,22.86,23.23,39.24,29.08,19.29,22.39,24.88,14.97,32.18,21.27,1.08
Customer 69,35.99,39.59,12.5,31.06,14.91,29.56,22.66,18.1,27.06,28.62,23.63,25.56,2.89
Customer 70,29.08,22.19,18.73,26.27,27.31,32.89,34.09,21.64,17.87,28.02,14.52,14.56,0
Customer 71,17.61,21.4,22.17,22.47,31.88,24.82,23.53,26.63,31.59,24.33,17.14,28.87,0
Customer 72,28.86,29.17,24.62,22.93,24.02,17.13,14.27,18.03,27.14,25.53,21.97,34.85,0
Customer 73,18.01,15.39,28.17,37.58,21.37,25.01,24.03,23.91,34.26,20.68,36.68,29.77,1.11
Customer 74,30.02,7.72,44.18,31.27,38.19,18.88,38.82,26.98,16.39,24.23,38.7,24.03,0
Customer 75,21.6,17.25,23.53,33.8,19.91,36.71,21.79,16.7,21.91,20.99,14.63,17.74,2.39
Customer 76,29.7,12.7,15.61,27.21,20,20.05,24.12,14.12,23.47,40.34,14.04,16.84,1.01
Customer 77,19.65,37.75,37.18,19.06,28.99,25.33,25.81,22.05,17.23,46.31,16.26,30.19,0
Customer 78,10.05,9.85,34.01,17.25,22.21,16.34,28.72,17.79,20.4,25.95,30.13,37.23,0
Customer 79,21.78,21.33,22.28,27.99,25.92,27.63,38.31,35.38,17.09,20.92,18.27,15.53,4.77
Customer 80,24.29,33.66,14.01,27.1,34.68,27.48,30.08,33.7,20.22,15.7,33.89,34.78,0
Customer 81,24.54,11.06,18.05,17.85,26.34,19.04,29.01,29,26.67,40.98,23.32,18.67,4.16
Customer 82,21.73,16.64,38.93,30.57,26.06,31.73,14.96,31.7,24.97,34.01,32.12,19.63,0
Customer 83,16.27,23.58,31.56,17.82,27.7,42.91,30.03,24.73,38.8,20.75,17.91,33.73,0.3
Customer 84,24.3,20.21,51.61,28.15,20.87,28.05,27.31,18.66,18.48,22.66,32.55,31.42,1.46
Customer 85,34.4,26.53,29.41,28.82,28.2,20.71,23.33,24.71,22.91,11.99,30.1,27.32,0
Customer 86,23.46,20.41,26.16,25.64,27.7,26.9,25.23,16,33.59,28.39,20.9,32.83,1.22
Customer 87,24.63,23.23,27.4,22.97,35.32,17.11,26.22,14.8,32.78,16.01,21.27,28.37,2.42
Customer 88,27.95,12.01,20.62,35.56,19.06,21.75,35.63,16.8,31.25,28.67,30.58,27,0.58
Customer 89,22.72,22.23,28.32,18.4,14.3,22.63,15.63,23.7,19.76,16.63,32.08,34.04,0
Customer 90,30.23,14.85,27.6,18.44,16.04,14.38,16.97,16.45,27.7,15.28,16.51,23.61,1.78
Customer 91,28.12,15.27,25.98,33.68,26.56,20.01,33.26,4.36,20.03,35.11,42.39,38.48,0
Customer 92,25.21,24.67,30.43,12.5,28.87,37.23,34.66,29.83,19.75,19.24,27.15,28.02,0
Customer 93,14.86,15.96,26.65,33.96,18.45,13.99,22.68,17.1,36.21,17.54,18,42.83,0
Customer 94,13.84,17.27,31.39,26.16,19.18,38.41,17.65,30.49,24.4,39.24,21.57,39.22,0.76
Customer 95,32.16,26.24,32.76,43.43,19.33,15.17,45.99,28.47,22.98,28.89,28.81,21.94,0
Customer 96,17.41,27.85,32.84,30.14,24.84,29.13,27.18,15.1,30.47,11.1,15.25,19.29,0
Customer 97,17.89,25.79,27.3,22.1,36.34,22.3,23.27,27.57,21.29,38.37,23.32,22.81,0.46
Customer 98,37.06,23.22,16.62,25.19,13.98,34.97,33.47,19.85,15.38,21.22,25.84,24.6,0
Customer 99,37.16,21.98,21.8,27.25,35.54,24.47,7.45,27.03,24.17,21.93,26.29,23.94,1.91
Customer 100,29.28,24.92,16.31,27.94,27.78,22.27,25.16,35.4,21.6,22.73,27.45,31.42,0
Customer 101,26.9,17.56,24.15,20.35,36.17,30.6,29.61,23.94,20.56,10.42,10.51,26.67,0
Customer 102,34.35,23.19,26.23,25.18,29.66,33.41,12.83,20.28,31.19,25.93,30.03,28.98,0.37
Customer 103,44.42,26.74,19.41,19.12,38.95,26.32,32.7,15.13,29.02,28.49,36.97,39.17,0
Customer 104,21.76,26.01,30.66,33.3,22.36,37.05,20.86,20.64,23.4,22.12,23.98,16.7,0
Customer 105,50.17,15.28,29.21,37.03,16.15,24.03,31.67,13.48,29.49,17.91,20.1,33.21,0
Customer 106,35.62,13.84,14.76,15.97,21.66,20.64,42.71,29.84,27.63,25.36,18.01,21.66,0
Customer 107,10.82,38.01,16.4,15.35,38.61,24.54,23.72,20.02,20.94,28.91,10.22,14.13,0
Customer 108,25.11,25.51,24.95,29.59,22.43,37.02,29.46,23.65,16.07,20.36,21.96,15.62,0.21
Customer 109,46.32,23.55,25.87,19.72,20.97,9.91,20.03,32.7,17.34,17.88,20.65,16.85,3.11
Customer 110,29.68,29.34,18.81,15.08,33.32,19.65,25.69,26.89,53.77,33.37,18.72,26.25,0
Customer 111,43.71,25.07,28.8,39.37,29.28,25.12,19.97,19.84,18.92,16.51,29.08,28.64,0.5
Customer 112,23.36,16.04,16.94,26.97,21.61,21.8,29.55,28.48,30.23,25.6,30.96,22.86,0.61
Customer 113,27.47,31.27,14.41,32.34,37.74,17.62,11.44,32.21,29.99,27.47,38.85,24.25,0
Customer 114,32.77,13.3,17.74,14.89,14.39,24.13,38.69,30.41,26.69,44.22,22.82,40.64,1.03
Customer 115,31.9,26.08,17.83,28.35,33.05,35.87,22.13,22.62,14.45,16.32,36.53,51.65,5.91
Customer 116,33.53,18.87,14.01,22.24,23.24,18.46,22.12,19.24,20.3,36.45,24.67,27.62,2.7
Customer 117,19.12,25.09,20.31,31.51,17.37,23.42,32.7,39.06,23.08,20.98,19.73,16.49,0
Customer 118,23.07,21.3,20.55,42.01,30.97,17.61,39.01,8.78,25.26,29.89,16.93,21.85,0
Customer 119,16.77,35.44,26.54,30.5,19.95,19.26,25.41,15.45,28.98,10.67,21.56,39.21,0
Customer 120,33.06,5.77,23.31,30.06,24.78,28.28,20.93,14.99,18.77,24.29,32.95,14.87,5.99
Customer 121,41.89,24.86,29.31,22.71,17.91,18.86,18.49,25.58,17.77,28.95,36.72,36.78,0
Customer 122,22.76,39.47,31.34,38.45,14.3,25.38,22.6,25.91,21.42,22.96,26.54,31.53,0
Customer 123,22.41,18.39,33.67,21.97,31.2,29.03,18.79,18.48,13.11,34.96,26.56,26.3,0
Customer 124,28.05,21.56,20.64,23.04,14.08,26.55,20.54,31.3,19.75,19.83,19.08,35.02,0.42
Customer 125,24.29,28.05,21.39,20.64,21.16,22.2,19.99,23.7,27.58,32.43,23.43,16.92,0
Customer 126,20.37,22.55,18.82,29.92,43.68,25.64,20.18,26.04,13.09,34.64,28.26,17.58,0
Customer 127,24.31,17.48,26.85,28.95,34.75,34.32,18.11,14.43,40.85,32.79,14.85,20.45,0
Customer 128,25.01,40.85,15.96,25.14,20.22,18.76,22.74,43,17.61,20.23,29.58,21.16,0
Customer 129,18.88,32.69,21.42,10.63,28.51,40.14,38.25,30.83,20.17,14.23,26.77,19,0
Customer 130,20.81,29.72,20.09,18.91,23.02,25.01,35.23,18.1,16.77,49.91,17.94,24.5,0
Customer 131,21.09,12.98,41.14,22.67,21.09,38.43,16.69,30.3,22.49,34.98,30.37,24.96,0.45
Customer 132,19.15,29.23,16.2,30.49,25.93,18.3,32.17,14.4,35.56,23.83,22.91,38.12,0
Customer 133,50.54,41,17.17,24.33,27.28,29.59,36.66,26.51,23.91,25.72,32.52,28.91,0
Customer 134,29.59,27.34,18.47,21.91,21.26,27.35,17.89,30.31,17.24,30.76,20.23,27.17,0.72
Customer 135,27.79,23.29,25.43,17.86,16.15,25.45,13.15,26.46,19.77,18.5,21.84,12.21,0
Customer 136,32.47,24.68,21.22,35.94,24.93,21.3,34.73,39.67,24.21,30.68,10.48,14.95,1.19
Customer 137,28.26,10.88,28.88,27.64,28.56,19.04,29.69,20.9,22.41,18.84,34.67,36.81,0
Customer 138,36.06,26.02,20.35,17.64,15.26,18.54,21.88,20.15,21.17,24.56,23.9,31.91,0
Customer 139,27.84,17.12,33.54,22.9,33.11,27.04,21.9,26.14,23.7,28.2,22.22,9.9,0
Customer 140,22.8,26.28,21.93,15.08,26.2,14.69,27.07,23.9,32.87,18.59,10.13,30.6,0
Customer 141,24.72,28.67,34.06,18.69,30.17,15.97,23.55,15.81,20,20.64,14.39,7.84,4.17
Customer 142,18.77,41.51,14.08,16.16,16.02,36.09,25.52,27.5,31.54,18.48,19.67,26.15,0.97
Customer 143,37.15,50.18,36.5,23.52,28.08,33.37,33.38,17.85,31.3,26.33,26.39,31.25,0
Customer 144,19.2,25.25,26.57,26.07,20.24,38.03,24.05,19.66,27.05,24.34,38.11,30.79,2.87
Customer 145,43.88,16.12,21.94,18.41,40.42,20.14,25.78,23.78,11.86,23.64,26.8,53.45,0
Customer 146,21.79,9.7,10.84,28.98,30.13,32.01,28.49,13.76,27.35,25.86,45.34,26.4,1.34
Customer 147,13.8,30.1,34.24,20.99,31.6,32.32,32.19,36.84,12.22,15.79,27.62,23.29,0.2
Customer 148,22.09,11.57,26.92,31.28,29.12,18.86,20.95,27.27,21.53,28.75,22.63,23.42,1.71
Customer 149,29.5,38.55,38.61,16.35,10.76,29.01,27.22,42.87,24.16,32.84,27.94,12.39,2.76
Customer 150,29.62,35,19.02,35.35,23.26,21.59,25.52,42.25,18.07,18.93,49.03,22.58,1.67
Customer 151,35.75,31.5,46.5,16.23,33.16,39.08,41.22,19.84,28.62,28.29,14.28,24.24,0
Customer 152,35.01,28.99,33.35,21.31,25.83,24.16,33.89,36.96,25.16,35.43,20,31.5,0
Customer 153,28.42,34.48,20.13,18.74,30.44,17.01,28.1,21.62,35.94,17.96,29.63,28.96,5.03
Customer 154,13.02,34.92,11.2,23.39,40.88,26.73,20.36,29.21,35.07,17.45,15.83,23.47,1.78
Customer 155,25.14,19.44,24.95,17.58,23.9,21.99,22.61,15.2,21.23,40.57,39.51,52.54,0
Customer 156,16.62,28.41,27.41,33.39,33.63,28.44,9.08,17.57,18.78,39.89,26.22,26.83,0
Customer 157,30.3,14.42,17.07,33.23,21.81,15.11,27.96,13.06,37.93,22.94,19.09,20.19,0
Customer 158,20.88,32.41,8.75,25.51,22.41,21.97,22.46,23.03,35.58,19.09,24.68,20.21,0
Customer 159,21.26,21.54,12.34,24.99,15.6,13.98,39.92,24.36,27.33,38.79,19.89,21.59,0
Customer 160,19.3,14.91,27.1,30.11,22.69,17.12,18.08,21.92,40.77,25.78,32.29,21.83,0.91
Customer 161,26.68,21.08,41.09,36.53,33.98,30.26,39.48,34.04,24.97,15.01,23.73,21.65,0
Customer 162,26.89,29.55,29.62,21.66,18.9,18.73,20.57,26.33,19.78,29.04,22.22,33.58,0
Customer 163,25.93,36.87,18.83,35.25,24.29,37.61,28.89,12.97,23.79,33.43,41.01,28.86,0
Customer 164,29.6,26.34,33.8,24.49,24.77,32.99,15.91,35.99,15.25,13.1,20.41,45.16,0.81
Customer 165,25.58,12.11,10.2,22.08,18.18,16.78,26.36,29.97,25.02,24.06,15.08,13.6,0
Customer 166,29.01,19.85,30.24,19.29,24.2,21.35,24.06,31.51,27.26,40.03,14.63,22.67,0
Customer 167,29.68,20.97,30.31,20.58,21.59,22.73,24.7,19.66,20.33,31.36,33.36,23.15,2.55
Customer 168,22.93,23.84,23.64,27.78,27.72,27.04,28.53,19.08,29.58,16.83,16.35,20.05,3.84
Customer 169,26.81,19.9,33.07,24.69,23.32,19.74,36.01,17,26.73,22.86,19.87,37.51,0
Customer 170,23.88,23.67,9.82,16.13,29.68,45.07,46.18,39.77,24.85,25.5,31.23,24.65,0.53
Customer 171,16.7,27.56,27,38.85,28.6,22.45,26.74,10.36,23.8,10.74,24.4,14.72,0.38
Customer 172,16.92,27.61,26.77,19.27,27.82,29.9,14.72,33.95,14.42,30.8,18.4,20.94,0.2
Customer 173,30.54,33.36,10.43,20.4,22.72,25.37,19.89,20.57,28.62,24.86,28.69,19.23,0.45
Customer 174,21.36,23.98,40.21,26.52,26.64,23.4,20.54,27.1,16.73,37.19,25.65,24.95,2.77
Customer 175,17.95,22.72,19,30.6,31.15,28.42,15.8,35.74,19.81,21.38,25.9,2.04,0
Customer 176,24.95,32.2,43.91,40.69,32.41,32.15,23.05,14.55,23.97,27.96,28.75,12.72,0
Customer 177,22.73,24.45,28.25,12.33,32.98,29.87,37.56,15.62,32.26,32.99,14.4,27.9,0
Customer 178,32.05,33.89,26.43,33.18,35.63,27.31,28.13,21.48,18.32,15.2,32.75,23.54,0
Customer 179,35.43,27.1,27.49,17.73,36.68,25.62,21.59,20.74,25.58,22.07,39.26,36.78,0
Customer 180,19.15,17.21,8.12,41.48,30.93,22.75,33.9,17.45,27.41,32.77,35.16,33.12,0
Customer 181,34.83,36.49,25.63,24.83,23.92,25.41,15.78,36.35,17.45,22.23,15.81,18.03,1.58
Customer 182,16.25,35.79,16.23,23.02,46.39,15.4,30.4,29.67,27.11,31.84,29.76,20.35,0
Customer 183,31.31,26.27,18.07,30.86,25.83,30.19,18.12,41.11,21.65,16.49,27.19,20.85,0
Customer 184,32.37,9.69,28.03,21.91,17.21,34.08,24.72,16.55,49.56,17.67,12.78,24.2,0
Customer 185,21.08,21.52,13.16,21.18,13.76,28.69,17.1,22.96,25.61,17.88,19.64,23.05,5.59
Customer 186,31.12,26.03,19.81,25.29,19.71,15.96,28.84,24.35,23.71,25.68,17.56,29.9,0
Customer 187,26.86,17.89,20.98,24.44,25.06,17.25,28.23,35.62,26.18,14.74,34.16,44.75,3.4
Customer 188,22.94,35.8,41.22,27.35,39.28,20.62,33.22,24.21,17.61,18.7,21.02,27.65,0
Customer 189,23.45,20.27,24.25,14.84,33.88,22.58,22.21,31.84,22.66,33.14,18.37,23.67,0
Customer 190,21.22,29.58,26.59,25.48,28.32,16.35,26.65,19.54,41.78,22.63,21.05,14.68,0
Customer 191,23.03,11.74,24.27,29.28,30.97,24.61,15.89,22.27,27.87,29.61,18.6,23.1,0.58
Customer 192,16.1,29.2,15.44,36.69,42.07,27.33,27.48,20.13,17.33,24.65,23.54,16.87,0
Customer 193,38.8,31.47,24.06,34.97,13.61,32.58,27.12,22.1,24.82,31.12,24.37,23.15,0
Customer 194,21.82,16.27,22.96,21.66,31.86,23.48,33.57,22.43,19.85,37.11,27.3,13.09,0
Customer 195,18.93,20.49,21.83,28.33,26.11,19.55,26.37,27.22,29.64,28.93,18.42,45.36,0
Customer 196,19.56,15.33,14.6,34.6,28.82,13.77,27,21.75,25.13,30.78,9.16,32.41,0
Customer 197,27.69,12.33,23.97,19.43,19.32,21.72,33.76,28.33,19.99,33.08,37.98,22.68,5.28
Customer 198,19.7,22.57,17.06,18.29,28.24,24.09,24.15,10.53,12.81,18.39,25.25,24.71,4.65
Customer 199,24.15,24.82,35.02,23.46,37.18,24.18,23.77,24.82,18.23,22.06,38.47,19.88,1.13
Customer 200,29.53,22.25,26.67,29.03,19.92,14.93,28.49,27.05,35.84,20.02,13.69,14.92,0
Customer 201,41.31,19.05,43.28,32.93,16.45,14.83,24.73,18.12,30.61,28.81,25.53,36.42,0
Customer 202,25.29,13.72,14.08,27.06,19.09,15.42,29.82,17.08,10.4,17.96,19.25,37.28,4.58
Customer 203,18.93,39.12,8.35,32.46,39.93,14.87,13.76,23.86,35.3,28.38,33.3,35.71,1.53
Customer 204,16.35,24.73,26.82,13.5,41.62,24.99,44.73,27.63,28.08,33.75,6.55,28.16,0
Customer 205,27.59,19.88,20.8,38.25,43.37,23.26,26.03,16.56,46.79,34.29,37.06,31.54,1.55
Customer 206,22.46,15.58,28.51,46.56,22.84,11.5,35.23,26.7,36.04,25,19.55,30.86,0
Customer 207,22.36,21.96,28.36,30.34,29.69,38.12,24.07,22.58,6.4,25.1,8.22,9.91,2.35
Customer 208,23.19,24.06,20.58,20.41,20.48,15.09,30.9,27.57,21.17,21.55,38.9,19.06,0
Customer 209,22.39,36.55,19.65,10.09,38,33.41,30.25,29.93,19.8,29.42,8.73,11.23,0
Customer 210,24.57,11.72,21.49,28.52,33,32.8,30.5,25.16,14.57,23.57,19.62,16.44,0
Customer 211,28.53,28.77,17.55,20.88,32.48,18.21,6.79,35.39,22.52,23.05,16.75,30.88,0
Customer 212,33.31,26.37,9.93,12.88,27.89,19.55,14.87,33.03,25.19,31.43,26.47,22.58,1.98
Customer 213,40.07,19.87,25.74,29.11,26.32,26.52,26.98,32.12,28.84,27.57,17.52,17.94,0
Customer 214,22.68,24.39,13.39,24.86,18.65,25.79,25.47,23.6,19.74,12.85,21.74,22.37,0
Customer 215,18.01,7.09,25.52,24.37,23.22,37.94,26.77,21.59,23.35,24.14,21.79,14.47,4.26
Customer 216,30.49,22.71,22.55,17.38,23.95,23.54,25.9,24.31,19.89,47.08,30.24,25.49,3.61
Customer 217,37.26,28.33,30.25,24.94,32.69,23.35,37.03,31.35,17.03,26.25,28.2,28.73,0.94
Customer 218,39,28.94,20.17,17.05,38.67,19.2,15.05,6.5,31.44,37.7,27.78,19.85,0.44
Customer 219,17.54,29.5,31.65,23.56,24.39,16.49,11.43,30.58,29.41,20.81,34.17,29.26,1.24
Customer 220,12.76,13.99,25.75,11.53,21.15,22.4,18.38,27.2,27.87,14.04,8.59,39.29,3.02
Customer 221,29.75,17.75,26.38,30.97,28.56,21.29,16.71,34.79,25.15,23.22,18.02,41.47,0
Customer 222,29.04,15.59,34.64,26.17,16.68,29.87,26.17,37.24,13.49,28.86,26.51,27.98,0
Customer 223,14.12,23.18,29.08,15.6,15.25,26.81,41.24,29.11,24.09,27.38,28.62,25.88,1.15
Customer 224,19.17,28.15,23.05,21.48,43.16,19.08,26.42,17.7,31.6,18.42,31.59,18.42,0
Customer 225,16.33,8.94,35.53,33.74,34.76,27.09,18.78,31.25,23.58,30,25.16,40.24,0
Customer 226,15.58,19.94,32.08,28.47,17.18,23.6,29.83,28.03,31.2,18.06,27.73,24.65,0.35
Customer 227,15.97,21.51,32.6,24.58,19.95,27.61,25.38,33.18,22.72,14.69,22.95,27.29,0
Customer 228,30.96,9.14,24.67,30.92,15.04,23.51,24.47,31.99,17.65,25.03,27.58,41.14,0
Customer 229,15.06,35.65,26.82,31.21,22.96,25.23,33.38,25.94,28.97,23.72,15.63,22.77,1.54
Customer 230,22.41,16.22,27.53,26.5,31.37,26.68,19.28,36.23,14.84,22.31,36.14,40.05,0
Customer 231,25.58,16.19,27.05,15.39,28.2,31.53,29.25,20.37,13.76,36.78,20.12,11.25,0
Customer 232,29.82,27.41,9.83,25.66,24.88,33.02,41.66,21.5,31.98,33.02,13.5,26.95,0
Customer 233,16.43,29.38,14.49,28.43,9.98,25.87,12.99,24.64,13.52,29.67,30.81,26.51,0
Customer 234,27.62,15.7,37.07,31.33,11.58,28.19,17.07,20.74,34.42,9.6,23.51,29.74,0
Customer 235,30.88,29.64,30.64,15.99,14.37,46.29,36.77,25.33,17.58,27.59,27.88,38.86,1.6
Customer 236,42.34,24.77,34.81,23.65,39.05,25.88,29.53,30.44,28.62,28.92,20.92,28.49,0
Customer 237,30.62,16.02,21.64,22.71,11.16,25.3,40.15,22.98,22.41,26.54,29.38,24.93,1.16
Customer 238,30.46,19.48,25.64,21.1,27.97,30.84,27.15,37.46,33.1,33.87,26.82,19.22,0
Customer 239,17.65,22.08,10.21,25.15,24.54,34.89,23.66,16.5,16.59,17.62,22.25,23.77,0.52
Customer 240,24.15,17.17,12.61,26.34,26.44,25.7,19.58,40.29,33.28,18.85,27.26,20.97,1.29
Customer 241,25.52,33.48,15.02,20.99,21.06,18.24,19.79,18.35,30.73,24.61,31.83,23.03,0.38
Customer 242,26.72,12.22,23.92,21.69,19.68,26.46,18.08,15.47,29.48,33.7,18.57,19.58,0
Customer 243,20.02,17.34,27.85,21.08,16.92,16.72,25.79,28.46,26.13,33.13,18.32,25.96,0
Customer 244,19.02,22.07,14.06,22.2,13.08,22.28,23.99,12.29,26.7,27.58,21.79,34.61,5.04
